trial,scene_seed,llm_calls,physics_steps,sim_seconds,wall_seconds,model_decision_wait_seconds,decision_wait_pct_of_wall,mean_wait_per_decision_s,max_single_wait_s,worker_runs,token_journal_status,tokens_total,tokens_input,tokens_output,tokens_cache_read,api_usage_or_cost
1,2000,20,859,42.95,2108.4,2088.8,99.07,104.4,355.4,1,opencode session db aggregation (valid attempt),5986928,175186,9976,5687296,null (subagent access mode: no API usage field; see SOP section 7)
2,2001,20,900,45.0,4248.7,4227.7,99.51,211.4,1197.9,1,opencode session db aggregation (valid attempt),9387245,434800,15309,8801280,null (subagent access mode: no API usage field; see SOP section 7)
3,2002,17,900,45.0,2252.6,2231.1,99.04,131.2,303.9,1,opencode session db aggregation (valid attempt),5477880,150261,8295,5171456,null (subagent access mode: no API usage field; see SOP section 7)
4,2003,15,900,45.0,1658.1,1636.7,98.71,109.1,283.2,1,opencode session db aggregation (valid attempt),4270327,124067,8039,4009984,null (subagent access mode: no API usage field; see SOP section 7)
5,2004,20,637,31.85,4074.3,4058.3,99.61,202.9,712.4,1,opencode session db aggregation (valid attempt),8390788,426058,11527,7783808,null (subagent access mode: no API usage field; see SOP section 7)
6,2005,20,467,23.35,3477.4,3461.2,99.53,173.1,586.6,1,opencode session db aggregation (valid attempt),7144203,449471,9884,6558080,null (subagent access mode: no API usage field; see SOP section 7)
7,2006,20,781,39.05,4333.7,4313.8,99.54,215.7,631.2,2,opencode session db aggregation (valid attempt),15219100,189693,20625,14769280,null (subagent access mode: no API usage field; see SOP section 7)
8,2007,19,774,38.7,1847.4,1825.2,98.8,96.1,311.2,1,opencode session db aggregation (valid attempt),8055593,164906,15910,7744256,null (subagent access mode: no API usage field; see SOP section 7)
9,2008,15,602,30.1,1860.7,1844.5,99.13,123.0,262.3,1,opencode session db aggregation (valid attempt),9048943,66797,16938,8806144,null (subagent access mode: no API usage field; see SOP section 7)
10,2009,13,59,2.95,1187.6,1180.7,99.43,90.8,253.6,1,opencode session db aggregation (valid attempt),2631410,97946,6312,2435584,null (subagent access mode: no API usage field; see SOP section 7)
11,2010,20,665,33.25,1557.0,1538.3,98.8,76.9,224.8,1,opencode session db aggregation (valid attempt),5554621,175221,10010,5299328,null (subagent access mode: no API usage field; see SOP section 7)
12,2011,20,463,23.15,2107.7,2093.7,99.34,104.7,304.6,1,opencode session db aggregation (valid attempt),12308086,181389,17875,11929216,null (subagent access mode: no API usage field; see SOP section 7)
13,2012,20,455,22.75,1508.8,1495.0,99.09,74.7,208.9,1,opencode session db aggregation (valid attempt),5155721,173417,7838,4885760,null (subagent access mode: no API usage field; see SOP section 7)
14,2013,20,609,30.45,2191.1,2173.9,99.21,108.7,476.2,1,opencode session db aggregation (valid attempt),7446405,178791,10079,7113856,null (subagent access mode: no API usage field; see SOP section 7)
15,2014,15,900,45.0,3267.8,3244.7,99.29,216.3,909.0,1,opencode session db aggregation (valid attempt),10235050,404404,24298,9627392,null (subagent access mode: no API usage field; see SOP section 7)
16,2015,15,900,45.0,1519.8,1499.0,98.63,99.9,206.7,2,opencode session db aggregation (valid attempt),5441299,121734,7531,5142784,null (subagent access mode: no API usage field; see SOP section 7)
17,2016,20,764,38.2,3219.3,3197.0,99.31,159.9,686.9,1,opencode session db aggregation (valid attempt),11813269,422179,19985,11186944,null (subagent access mode: no API usage field; see SOP section 7)
18,2017,15,900,45.0,1673.1,1650.7,98.66,110.0,267.3,1,opencode session db aggregation (valid attempt),5074889,122669,8775,4799488,null (subagent access mode: no API usage field; see SOP section 7)
19,2018,17,900,45.0,1773.4,1750.4,98.7,103.0,391.1,1,opencode session db aggregation (valid attempt),5828609,147265,10623,5550720,null (subagent access mode: no API usage field; see SOP section 7)
20,2019,20,873,43.65,3136.7,3113.8,99.27,155.7,576.8,1,opencode session db aggregation (valid attempt),11031272,454556,16530,10404224,null (subagent access mode: no API usage field; see SOP section 7)
